,comunidad_autónoma,categoria,generacion (MW),porcentaje (%),mes,año
283,Castilla - La Mancha,Otras renovables,22879.467,2.8840219484174834,8,2019
284,Castilla - La Mancha,Otras renovables,21157.323,2.6128310432913113,9,2019
285,Castilla - La Mancha,Otras renovables,22637.149,2.8880066142251906,10,2019
286,Castilla - La Mancha,Otras renovables,23358.473,1.4471254480857505,11,2019
287,Castilla - La Mancha,Otras renovables,27306.579,2.732904492336639,12,2019
288,Castilla y León,Hidráulica,498000.701,26.953545771598076,1,2019
289,Castilla y León,Hidráulica,532852.413,40.724165470878184,2,2019
290,Castilla y León,Hidráulica,525850.947,28.995453732780263,3,2019
291,Castilla y León,Hidráulica,371615.305,24.258722171143194,4,2019
292,Castilla y León,Hidráulica,295840.986,18.978891783348416,5,2019
293,Castilla y León,Hidráulica,194490.28,18.02045789434856,6,2019
294,Castilla y León,Hidráulica,349848.65,30.034556330534713,7,2019
295,Castilla y León,Hidráulica,359216.117,33.12956374714962,8,2019
296,Castilla y León,Hidráulica,399504.226,27.190888853280885,9,2019
297,Castilla y León,Hidráulica,229935.938,19.29941914537577,10,2019
298,Castilla y León,Hidráulica,410281.133,17.633506361142416,11,2019
299,Castilla y León,Hidráulica,1326686.653,48.93434602218768,12,2019
300,Castilla y León,Eólica,1277136.993,69.12313642993573,1,2019
301,Castilla y León,Eólica,685497.884,52.390359087954174,2,2019
302,Castilla y León,Eólica,1176169.894,64.85408068185158,3,2019
303,Castilla y León,Eólica,1071785.443,69.96521655321119,4,2019
304,Castilla y León,Eólica,1138472.047,73.03564685381407,5,2019
305,Castilla y León,Eólica,763644.114,70.75529225730001,6,2019
306,Castilla y León,Eólica,695703.645,59.72625681165504,7,2019
307,Castilla y León,Eólica,614050.53,56.632275710518876,8,2019
308,Castilla y León,Eólica,964221.211,65.62641912648228,9,2019
309,Castilla y León,Eólica,877171.412,73.62441421631574,10,2019
310,Castilla y León,Eólica,1863694.203,80.09986553250732,11,2019
311,Castilla y León,Eólica,1329337.817,49.032133224798194,12,2019
312,Castilla y León,Solar fotovoltaica,46466.023,2.5149042465999036,1,2019
313,Castilla y León,Solar fotovoltaica,65757.36,5.025619748048521,2,2019
314,Castilla y León,Solar fotovoltaica,89369.758,4.927853982164206,3,2019
315,Castilla y León,Solar fotovoltaica,74027.051,4.832421160258854,4,2019
316,Castilla y León,Solar fotovoltaica,102920.847,6.602613261515968,5,2019
317,Castilla y León,Solar fotovoltaica,95087.708,8.810332517820997,6,2019
318,Castilla y León,Solar fotovoltaica,95817.868,8.225977587501736,7,2019
319,Castilla y León,Solar fotovoltaica,92227.992,8.505946686784114,8,2019
320,Castilla y León,Solar fotovoltaica,79396.164,5.403828370768877,9,2019
321,Castilla y León,Solar fotovoltaica,59072.731,4.958204470112161,10,2019
322,Castilla y León,Solar fotovoltaica,30794.852,1.3235344619964264,11,2019
323,Castilla y León,Solar fotovoltaica,33319.141,1.2289641801771114,12,2019
324,Castilla y León,Otras renovables,26022.214,1.408413551866306,1,2019
325,Castilla y León,Otras renovables,24335.148,1.8598556931191195,2,2019
326,Castilla y León,Otras renovables,22172.837,1.2226116032039365,3,2019
327,Castilla y León,Otras renovables,14455.465,0.9436401153867559,4,2019
328,Castilla y León,Otras renovables,21555.692,1.3828481013215295,5,2019
329,Castilla y León,Otras renovables,26052.804,2.4139173305304293,6,2019
330,Castilla y León,Otras renovables,23450.273,2.0132092703085096,7,2019
331,Castilla y León,Otras renovables,18781.99,1.732213855547374,8,2019
332,Castilla y León,Otras renovables,26136.091,1.7788636494679655,9,2019
333,Castilla y León,Otras renovables,25233.693,2.11796216819632,10,2019
334,Castilla y León,Otras renovables,21943.085,0.9430936443538309,11,2019
335,Castilla y León,Otras renovables,21812.787,0.8045565728370053,12,2019
336,Cataluña,Hidráulica,254632.493,33.825781076438325,1,2019
337,Cataluña,Hidráulica,280915.127,51.64004486743311,2,2019
338,Cataluña,Hidráulica,264679.209,45.42854274447875,3,2019
339,Cataluña,Hidráulica,270286.976,44.35587920712125,4,2019
340,Cataluña,Hidráulica,438949.715,55.47087229270825,5,2019
341,Cataluña,Hidráulica,392444.259,54.8484695224018,6,2019
342,Cataluña,Hidráulica,276233.133,51.27857613036476,7,2019
343,Cataluña,Hidráulica,240480.068,52.14718567618873,8,2019
344,Cataluña,Hidráulica,205774.283,50.45932651705295,9,2019
345,Cataluña,Hidráulica,213406.628,46.251492104762775,10,2019
346,Cataluña,Hidráulica,225881.229,35.20949458916032,11,2019
347,Cataluña,Hidráulica,412861.014,54.671588823466855,12,2019
348,Cataluña,Eólica,445534.857,59.18555152662414,1,2019
349,Cataluña,Eólica,207713.901,38.183615392237535,2,2019
350,Cataluña,Eólica,250175.771,42.93922726097624,3,2019
351,Cataluña,Eólica,279090.639,45.80061849270267,4,2019
352,Cataluña,Eólica,279622.0,35.33633972682193,5,2019
353,Cataluña,Eólica,247086.79,34.53313931827219,6,2019
354,Cataluña,Eólica,187509.829,34.80841323103763,7,2019
355,Cataluña,Eólica,149956.649,32.517527476672456,8,2019
356,Cataluña,Eólica,138090.687,33.8621666551848,9,2019
357,Cataluña,Eólica,195757.836,42.42647986640531,10,2019
358,Cataluña,Eólica,369782.23,57.64022749474521,11,2019
359,Cataluña,Eólica,302556.81,40.06496363461381,12,2019
360,Cataluña,Solar fotovoltaica,21726.082,2.886126922461335,1,2019
361,Cataluña,Solar fotovoltaica,31230.84,5.741100509861917,2,2019
362,Cataluña,Solar fotovoltaica,40875.503,7.0157174122338,3,2019
363,Cataluña,Solar fotovoltaica,35191.025,5.775079795464447,4,2019
364,Cataluña,Solar fotovoltaica,45676.235,5.772188731223417,5,2019
365,Cataluña,Solar fotovoltaica,46375.775,6.481532659305033,6,2019
366,Cataluña,Solar fotovoltaica,45638.895,8.472182631919189,7,2019
367,Cataluña,Solar fotovoltaica,43242.737,9.377022612475292,8,2019
368,Cataluña,Solar fotovoltaica,36455.069,8.939398077614467,9,2019
369,Cataluña,Solar fotovoltaica,28034.752,6.075955198481382,10,2019
370,Cataluña,Solar fotovoltaica,21830.874,3.4029124216410245,11,2019
371,Cataluña,Solar fotovoltaica,14581.572,1.9309106012702308,12,2019
372,Cataluña,Solar térmica,5874.725,0.780407713850876,1,2019
373,Cataluña,Solar térmica,1035.487,0.1903514264635657,2,2019
374,Cataluña,Solar térmica,1918.208,0.3292339978271625,3,2019
375,Cataluña,Solar térmica,1477.3,0.24243469412555124,4,2019
376,Cataluña,Solar térmica,843.782,0.1066302630242873,5,2019
377,Cataluña,Solar térmica,4624.362,0.6463062521639615,6,2019
378,Cataluña,Solar térmica,5060.603,0.9394257429685393,7,2019
379,Cataluña,Solar térmica,4279.313,0.9279527049099479,8,2019
380,Cataluña,Solar térmica,3149.447,0.7722975495492451,9,2019
381,Cataluña,Solar térmica,355.775,0.0771069050562571,10,2019
382,Cataluña,Solar térmica,190.153,0.029640316082274385,11,2019
383,Cataluña,Solar térmica,47.08,0.006234394419737629,12,2019
384,Cataluña,Otras renovables,13917.103,1.848769863382059,1,2019
385,Cataluña,Otras renovables,12452.348,2.2890892928841495,2,2019
386,Cataluña,Otras renovables,13688.895,2.3495103902633376,3,2019
387,Cataluña,Otras renovables,12866.424,2.1114652182560425,4,2019
388,Cataluña,Otras renovables,13862.238,1.7517961796355817,5,2019
389,Cataluña,Otras renovables,12126.052,1.6947512373956257,6,2019
390,Cataluña,Otras renovables,12711.861,2.35976808780254,7,2019
391,Cataluña,Otras renovables,10855.451,2.353963152138532,8,2019
392,Cataluña,Otras renovables,12213.085,2.9948545309499224,9,2019
393,Cataluña,Otras renovables,12831.909,2.78105203837687,10,2019
394,Cataluña,Otras renovables,14060.319,2.1916682848948374,11,2019
395,Cataluña,Otras renovables,13826.638,1.8309412657377284,12,2019
396,Cataluña,Residuos renovables,11091.128,1.4733628972432646,1,2019
397,Cataluña,Residuos renovables,10639.2895,1.955798511119731,2,2019
398,Cataluña,Residuos renovables,11289.9715,1.9377681942207137,3,2019
399,Cataluña,Residuos renovables,10447.6145,1.714522592330044,4,2019
400,Cataluña,Residuos renovables,12361.7185,1.5621728065865335,5,2019
401,Cataluña,Residuos renovables,12849.0695,1.7958010104613928,6,2019
