,comunidad_autonoma,provincias,ramas de actividad,magnitud,periodo,total
92,Andalucía,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2019,15.0
93,Andalucía,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2021,14.5
94,Andalucía,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2020,14.2
95,Andalucía,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2019,13.7
96,Andalucía,Almería,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2021,12.9
97,Andalucía,Almería,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2020,12.4
98,Andalucía,Almería,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2019,11.8
99,Andalucía,Almería,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2021,11.4
100,Andalucía,Almería,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2020,11.2
101,Andalucía,Almería,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2019,10.7
102,Andalucía,Almería,F. Construcción,Empleo total (miles de personas),2021,16.0
103,Andalucía,Almería,F. Construcción,Empleo total (miles de personas),2020,14.2
104,Andalucía,Almería,F. Construcción,Empleo total (miles de personas),2019,14.9
105,Andalucía,Almería,F. Construcción,Empleo asalariado (miles de personas),2021,13.3
106,Andalucía,Almería,F. Construcción,Empleo asalariado (miles de personas),2020,11.9
107,Andalucía,Almería,F. Construcción,Empleo asalariado (miles de personas),2019,12.7
108,Andalucía,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2021,93.6
109,Andalucía,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2020,95.5
110,Andalucía,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2019,102.6
111,Andalucía,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2021,75.6
112,Andalucía,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2020,76.9
113,Andalucía,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2019,83.9
114,Andalucía,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2021,27.1
115,Andalucía,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2020,26.2
116,Andalucía,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2019,26.6
117,Andalucía,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2021,21.4
118,Andalucía,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2020,20.4
119,Andalucía,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2019,20.9
120,Andalucía,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2021,65.5
121,Andalucía,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2020,62.6
122,Andalucía,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2019,64.0
123,Andalucía,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2021,58.5
124,Andalucía,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2020,56.2
